10313 | 24-SEP-1996 | 2 | Cunewalde |  | 01307 | Germany                                                                                                                                                                                                                                                                                                                                                                                                                                                            
10314 | 25-SEP-1996 | 2 | Albuquerque | NM | 87110 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                            
10315 | 26-SEP-1996 | 2 | Cowes | Isle of Wight | PO31 7PJ | UK                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10316 | 27-SEP-1996 | 3 | Albuquerque | NM | 87110 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                            
10317 | 30-SEP-1996 | 1 | Portland | OR | 97219 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                               
10318 | 01-OCT-1996 | 2 | Cowes | Isle of Wight | PO31 7PJ | UK                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10319 | 02-OCT-1996 | 3 | M??xico D.F. |  | 05033 | Mexico                                                                                                                                                                                                                                                                                                                                                                                                                                                          
10320 | 03-OCT-1996 | 3 | Oulu |  | 90110 | Finland                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10321 | 03-OCT-1996 | 2 | Cowes | Isle of Wight | PO31 7PJ | UK                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10322 | 04-OCT-1996 | 3 | M??xico D.F. |  | 05033 | Mexico                                                                                                                                                                                                                                                                                                                                                                                                                                                          
10323 | 07-OCT-1996 | 1 | Brandenburg |  | 14776 | Germany                                                                                                                                                                                                                                                                                                                                                                                                                                                          
10324 | 08-OCT-1996 | 1 | Boise | ID | 83720 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10325 | 09-OCT-1996 | 3 | Brandenburg |  | 14776 | Germany                                                                                                                                                                                                                                                                                                                                                                                                                                                          
10326 | 10-OCT-1996 | 2 | Madrid |  | 28023 | Spain                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10327 | 11-OCT-1996 | 1 | Br??cke |  | S-844 67 | Sweden                                                                                                                                                                                                                                                                                                                                                                                                                                                            
10328 | 14-OCT-1996 | 3 | Lisboa |  | 1675 | Portugal                                                                                                                                                                                                                                                                                                                                                                                                                                                               
10329 | 15-OCT-1996 | 2 | Lander | WY | 82520 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10330 | 16-OCT-1996 | 1 | Barquisimeto | Lara | 3508 | Venezuela                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10331 | 16-OCT-1996 | 1 | Marseille |  | 13008 | France                                                                                                                                                                                                                                                                                                                                                                                                                                                             
10332 | 17-OCT-1996 | 2 | Montr??al | Qu??bec | H1J 1C3 | Canada                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10333 | 18-OCT-1996 | 3 | Oulu |  | 90110 | Finland                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10334 | 21-OCT-1996 | 2 | Lyon |  | 69004 | France                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10335 | 22-OCT-1996 | 2 | Cork | Co. Cork |  | Ireland                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10336 | 23-OCT-1996 | 2 | Lisboa |  | 1756 | Portugal                                                                                                                                                                                                                                                                                                                                                                                                                                                               
10337 | 24-OCT-1996 | 3 | M??nchen |  | 80805 | Germany                                                                                                                                                                                                                                                                                                                                                                                                                                                             
10338 | 25-OCT-1996 | 3 | Anchorage | AK | 99508 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10339 | 28-OCT-1996 | 2 | Montr??al | Qu??bec | H1J 1C3 | Canada                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10340 | 29-OCT-1996 | 3 | Marseille |  | 13008 | France                                                                                                                                                                                                                                                                                                                                                                                                                                                             
10341 | 29-OCT-1996 | 3 | K??benhavn |  | 1734 | Denmark                                                                                                                                                                                                                                                                                                                                                                                                                                                            
10342 | 30-OCT-1996 | 2 | M??nchen |  | 80805 | Germany                                                                                                                                                                                                                                                                                                                                                                                                                                                             
10343 | 31-OCT-1996 | 1 | Frankfurt a.M.  |  | 60528 | Germany                                                                                                                                                                                                                                                                                                                                                                                                                                                      
10344 | 01-NOV-1996 | 2 | Seattle | WA | 98124 | USA                                                                                                                                                                                                                                                                                                                                                                                                                                                                
