10837 | 40 | 5 | 9 | 18.4 | 25 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10837 | 47 | 5 | 9 | 9.5 | 40 | .25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10838 | 1 | 47 | 3 | 18 | 4 | .25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10838 | 18 | 47 | 3 | 62.5 | 25 | .25                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
10838 | 36 | 47 | 3 | 19 | 50 | .25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10839 | 58 | 81 | 3 | 13.25 | 30 | .1                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
10839 | 72 | 81 | 3 | 34.8 | 15 | .1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
10840 | 39 | 47 | 4 | 18 | 10 | .2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10841 | 10 | 76 | 5 | 31 | 16 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10841 | 56 | 76 | 5 | 38 | 30 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10841 | 59 | 76 | 5 | 55 | 50 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10841 | 77 | 76 | 5 | 13 | 15 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10842 | 43 | 80 | 1 | 46 | 5 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10842 | 68 | 80 | 1 | 12.5 | 20 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10842 | 70 | 80 | 1 | 15 | 12 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10843 | 51 | 84 | 4 | 53 | 4 | .25                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10845 | 23 | 63 | 8 | 9 | 70 | .1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10845 | 35 | 63 | 8 | 18 | 25 | .1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10845 | 42 | 63 | 8 | 14 | 42 | .1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10845 | 58 | 63 | 8 | 13.25 | 60 | .1                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
10846 | 4 | 76 | 2 | 22 | 21 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10846 | 70 | 76 | 2 | 15 | 30 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10846 | 74 | 76 | 2 | 10 | 20 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10847 | 1 | 71 | 4 | 18 | 80 | .2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
10847 | 19 | 71 | 4 | 9.2 | 12 | .2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10847 | 45 | 71 | 4 | 9.5 | 36 | .2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10847 | 60 | 71 | 4 | 34 | 45 | .2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
10847 | 71 | 71 | 4 | 21.5 | 55 | .2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
10848 | 5 | 16 | 7 | 21.35 | 30 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10848 | 9 | 16 | 7 | 97 | 3 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
10849 | 26 | 39 | 9 | 31.23 | 18 | .15                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
10850 | 25 | 84 | 1 | 14 | 20 | .15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10850 | 33 | 84 | 1 | 2.5 | 4 | .15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10850 | 70 | 84 | 1 | 15 | 30 | .15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10851 | 25 | 67 | 5 | 14 | 10 | .05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10851 | 57 | 67 | 5 | 19.5 | 10 | .05                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
10851 | 59 | 67 | 5 | 55 | 42 | .05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
10852 | 2 | 65 | 8 | 19 | 15 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10852 | 17 | 65 | 8 | 39 | 6 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
